,colsample_bytree,learning_rate,min_child_samples,min_child_weight,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample,mae_mean,mae_std,rmse_mean,rmse_std,train_mae_mean,train_mae_std,train_rmse_mean,train_rmse_std,overfit_gap_%
9,0.9659838702175123,0.2565111875590418,21,6.617960497052984,1200,44,2.9564889385386355,1.373608964950321,0.8244973703390804,3229.051531305616,30.268959012444547,7863.692757869033,256.11726010424894,2255.334604308222,7.198467314269263,4571.04370681064,52.61421287116663,43.17394523798663
4,0.6488152939379115,0.15360130393226834,44,18.186408041575643,1000,49,3.7768070515882624,2.1257793724562237,0.6831766651472755,3629.457834292925,18.192706638401525,8738.475279988012,218.60558331828858,2935.8723596379823,13.849595391555521,6453.55953828293,66.39221029525328,23.62451052676102
8,0.602208846849441,0.2464838142519019,26,14.226839054972999,800,42,3.029799873905057,4.631504392566745,0.8604308102007778,3657.942276765681,25.93648766641023,8667.484116250509,218.35501903364369,2920.649461657021,14.265622192467905,6169.386671307582,63.68617810660305,25.244139181644854
0,0.749816047538945,0.28570714885887566,17,11.973169683940732,500,28,0.4998745790900144,2.2962444598293357,0.7334834444556088,4095.5138583331836,33.0810924144222,9549.14155911156,268.18022399693973,3510.2135014768915,17.487564303511675,7480.883617889509,67.76937195844009,16.67420960605479
1,0.6571467271687763,0.19875765715516733,11,14.439975445336495,500,30,3.0874075481385828,3.0582658024414044,0.6028265220878869,4214.411563666226,33.25166261946392,9904.769479147377,274.8938421216941,3726.518990530634,19.815443797776524,8125.444609837524,57.11636142221264,13.09244832443801
3,0.6053059844639466,0.28323850914860726,23,16.16794696232922,300,35,0.48836057003191935,3.4211651325607844,0.7760609974958406,4371.931612841346,38.27098685414901,10195.25035615393,313.20077534983284,3875.811245241377,13.499462315350696,8475.530635109044,39.10746304983655,12.80042644514985
6,0.6353970008207678,0.0668350301015521,49,16.89067697356303,1200,27,2.698460661945399,2.9337558283192413,0.9861021229056552,4483.31842405111,43.76168502917856,10760.302807013237,310.55277031198415,4089.7284846586836,14.818667888947358,9408.478892911087,53.89029524798658,9.623864783905688
2,0.6092249700165663,0.16218465147493286,37,19.475110376829182,800,12,4.299702033681603,3.4015376929388985,0.7801997007878172,4970.652085443306,46.75192378681295,11701.057950784541,323.085274695445,4662.074174572025,21.45934505928412,10587.888950882345,76.97626825153237,6.6188974974772385
7,0.8428136990746738,0.09003976278653757,38,16.043939615080795,300,34,4.9344346830025865,3.861223846483287,0.679486272613669,5097.238578132461,65.47494127958456,12202.696203018517,341.4327374708158,4811.53882379546,16.65123388212958,11180.629892770767,48.466800164894025,5.937804199439745
5,0.8270801311279966,0.01908085481211199,27,15.502656467222291,500,19,4.474136752138244,2.9894998940554256,0.9687496940092467,6344.249418536165,99.47606374492734,15394.252730626356,397.55963756580934,6239.242381313753,23.084769523039473,14961.745371201332,71.738132367767,1.6830094233380555
